Location ID,Latitude,Longitude,Equipment Lane Count,Lane Count,Electricity Number,Billing Month,Electricity Consumption (kWh),Feeder Line Category,Power Outage Group,Billing Period (Start),Billing Period (End),Billing Date,Lighting Usage Category,Number of Usage Days Last Year (Second Half),Billed kWh - Regular (Peak),Number of Usage Days Same Period Last Year,Average Electricity Consumption,Electricity Usage Same Period Last Year,Electricity Usage Last Year (Second Half),Number of Usage Days This Period,Unnamed: 21,Station
03F0394S,24.975247,121.454925,5,4,01-75-9551-00-7,2024-07,3740,W529,E,2024-05-06,2024-07-02,2024-07-09,G08,62,3740,57,7447,3752,4003,58,03F-039.4SN,樹林
03F0394S,24.975247,121.454925,5,4,01-75-9551-00-7,2024-09,4112,W529,E,2024-07-03,2024-09-03,2024-09-10,G08,59,4112,62,9869,4003,3739,63,03F-039.4SN,樹林
03F0394S,24.975247,121.454925,5,4,01-75-9551-00-7,2024-11,3985,W529,E,2024-09-04,2024-11-04,2024-11-11,G08,67,3985,59,8701,3739,4146,62,03F-039.4SN,樹林
03F0394S,24.975247,121.454925,5,4,01-84-0069-00-4,2024-05,5554,WG29,H,2024-03-15,2024-05-16,2024-05-23,B21,58,5554,60,無,5050,4634,63,03F-039.4SN,樹林
03F0394S,24.975247,121.454925,5,4,01-84-0069-00-4,2024-07,4828,WG29,H,2024-05-17,2024-07-15,2024-07-22,B21,62,4828,58,無,4634,5293,60,03F-039.4SN,樹林
03F0394S,24.975247,121.454925,5,4,01-84-0069-00-4,2024-09,5405,WG29,H,2024-07-16,2024-09-17,2024-09-24,B21,59,5405,62,無,5293,4557,64,03F-039.4SN,樹林
03F0394S,24.975247,121.454925,5,4,01-84-0069-00-4,2024-11,4331,WG29,H,2024-09-18,2024-11-17,2024-11-22,B21,66,4331,59,無,4557,5508,61,03F-039.4SN,樹林
03A0041S,25.003864,121.586039,3,2,01-96-8460-00-0,2024-05,3096,WZ24,A,2024-03-14,2024-05-15,2024-05-22,G08,60,3096,58,3361,2697,2956,63,03A-004.1SN,樹林
03A0041S,25.003864,121.586039,3,2,01-96-8460-00-0,2024-07,2810,WZ24,A,2024-05-16,2024-07-14,2024-07-19,G08,62,2810,60,3801,2956,3117,60,03A-004.1SN,樹林
03A0041S,25.003864,121.586039,3,2,01-96-8460-00-0,2024-09,3277,WZ24,A,2024-07-15,2024-09-15,2024-09-23,G08,59,3277,62,4428,3117,2893,63,03A-004.1SN,樹林
03A0041S,25.003864,121.586039,3,2,01-96-8460-00-0,2024-11,2882,WZ24,A,2024-09-16,2024-11-14,2024-11-21,G08,64,2882,59,3472,2893,2992,60,03A-004.1SN,樹林
05F0055S,24.996503,121.652086,3,3,01-97-7576-00-8,2024-06,3153,W258,D,2024-04-11,2024-06-11,2024-06-20,G08,61,3153,56,625,2843,3265,62,05F-005.5SN,樹林
05F0055S,24.996503,121.652086,3,3,01-97-7576-00-8,2024-08,3243,W258,D,2024-06-12,2024-08-12,2024-08-19,G08,60,3243,61,841,3265,2988,62,05F-005.5SN,樹林
05F0055S,24.996503,121.652086,3,3,01-97-7576-00-8,2024-10,3214,W258,D,2024-08-13,2024-10-13,2024-10-18,G08,62,3214,60,738,2988,3065,62,05F-005.5SN,樹林
05F0055S,24.996503,121.652086,3,3,01-97-7576-00-8,2024-12,2920,W258,D,2024-10-14,2024-12-11,2024-12-18,G08,62,2920,62,555,3065,3010,59,05F-005.5SN,樹林
03F0006S,25.137106,121.708908,4,3,02-19-2235-87-4,2024-06,2153,CY36,H,2024-04-10,2024-06-10,2024-06-19,B21,59,2153,56,1888,2152,2343,62,03F-000.6S,樹林
03F0006S,25.137106,121.708908,4,3,02-19-2235-87-4,2024-08,2253,CY36,H,2024-06-11,2024-08-11,2024-08-16,B21,62,2253,59,2366,2343,2382,62,03F-000.6S,樹林
03F0006S,25.137106,121.708908,4,3,02-19-2235-87-4,2024-10,2137,CY36,H,2024-08-12,2024-10-10,2024-10-17,B21,62,2137,62,2196,2382,2159,60,03F-000.6S,樹林
03F0006S,25.137106,121.708908,4,3,02-19-2235-87-4,2024-12,2078,CY36,H,2024-10-11,2024-12-10,2024-12-17,B21,62,2078,62,1837,2159,2075,61,03F-000.6S,樹林
03F0054N,25.103747,121.681789,4,3,02-26-4127-21-7,2024-06,2145,CZ24,H,2024-04-10,2024-06-10,2024-06-19,G08,59,2145,56,1760,1930,2130,62,03F-005.4N,樹林
03F0054N,25.103747,121.681789,4,3,02-26-4127-21-7,2024-08,2383,CM27,H,2024-06-11,2024-08-11,2024-08-16,G08,62,2383,59,2631,2130,2260,62,03F-005.4N,樹林
03F0054N,25.103747,121.681789,4,3,02-26-4127-21-7,2024-10,2300,CM27,H,2024-08-12,2024-10-10,2024-10-17,G08,62,2300,62,2495,2260,2127,60,03F-005.4N,樹林
03F0054N,25.103747,121.681789,4,3,02-26-4127-21-7,2024-12,2359,CM27,H,2024-10-11,2024-12-10,2024-12-17,G08,62,2359,62,1672,2127,2104,61,03F-005.4N,樹林
,,,,,02-26-4128-85-5,2024-05,793,CZ26,H,2024-04-10,2024-05-12,2024-05-17, ,28,793,28,無,733,832,33,七堵收費站,樹林
,,,,,02-26-4128-85-5,2024-06,723,CZ26,H,2024-05-13,2024-06-10,2024-06-19, ,30,723,28,無,832,1103,29,七堵收費站,樹林
,,,,,02-26-4128-85-5,2024-07,1126,CZ26,H,2024-06-11,2024-07-09,2024-07-16, ,29,1126,30,無,1103,1213,29,七堵收費站,樹林
,,,,,02-26-4128-85-5,2024-08,1164,CF20,H,2024-07-10,2024-08-11,2024-08-16, ,33,1164,29,無,1213,1230,33,七堵收費站,樹林
,,,,,02-26-4128-85-5,2024-09,1169,CF20,H,2024-08-12,2024-09-10,2024-09-18, ,29,1169,33,無,1230,975,30,七堵收費站,樹林
,,,,,02-26-4128-85-5,2024-10,915,CF20,H,2024-09-11,2024-10-10,2024-10-17, ,32,915,29,無,975,818,30,七堵收費站,樹林
,,,,,02-26-4128-85-5,2024-11,748,CZ26,H,2024-10-11,2024-11-11,2024-11-18, ,30,748,32,無,818,748,32,七堵收費站,樹林
,,,,,02-26-4128-85-5,2024-12,579,CZ26,H,2024-11-12,2024-12-10,2024-12-17, ,34,579,30,無,748,712,29,七堵收費站,樹林
01F0029S,25.10283611,121.7178556,3,2,02-26-4354-96-3,2024-06,3186,CM48,D,2024-04-12,2024-06-12,2024-06-21,D12,61,3186,56,2224,2829,3189,62,01F-002.9SN,泰山
01F0029S,25.10283611,121.7178556,3,2,02-26-4354-96-3,2024-08,3269,CM48,D,2024-06-13,2024-08-13,2024-08-20,D12,64,3269,61,2628,3189,3166,62,01F-002.9SN,泰山
01F0029S,25.10283611,121.7178556,3,2,02-26-4354-96-3,2024-10,3258,CM48,D,2024-08-14,2024-10-14,2024-10-21,D12,58,3258,64,2284,3166,3093,62,01F-002.9SN,泰山
01F0029S,25.10283611,121.7178556,3,2,02-26-4354-96-3,2024-12,2990,CM48,D,2024-10-15,2024-12-12,2024-12-19,D12,69,2990,58,1775,3093,3103,59,01F-002.9SN,泰山
01F0017S,25.10956667,121.7259056,3,2,02-26-4381-90-0,2024-06,3276,CM29,H,2024-04-12,2024-06-12,2024-06-21,D12,61,3276,56,2224,2735,3120,62,01F-001.7SN,泰山
01F0017S,25.10956667,121.7259056,3,2,02-26-4381-90-0,2024-08,3035,CM29,H,2024-06-13,2024-08-13,2024-08-20,D12,64,3035,61,2628,3120,3108,62,01F-001.7SN,泰山
01F0017S,25.10956667,121.7259056,3,2,02-26-4381-90-0,2024-10,3447,CM29,H,2024-08-14,2024-10-14,2024-10-21,D12,58,3447,64,2284,3108,2936,62,01F-001.7SN,泰山
01F0017S,25.10956667,121.7259056,3,2,02-26-4381-90-0,2024-12,2934,CM29,H,2024-10-15,2024-12-12,2024-12-19,D12,69,2934,58,1775,2936,2897,59,01F-001.7SN,泰山
01F0005N,25.11831111,121.7316361,3,2,02-26-4570-93-2,2024-06,1819,CM46,H,2024-04-12,2024-06-12,2024-06-21,D12,61,1819,56,1816,1837,2105,62,01F-000.5N,泰山
01F0005N,25.11831111,121.7316361,3,2,02-26-4570-93-2,2024-08,2019,CM46,H,2024-06-13,2024-08-13,2024-08-20,D12,64,2019,61,1990,2105,2105,62,01F-000.5N,泰山
01F0005N,25.11831111,121.7316361,3,2,02-26-4570-93-2,2024-10,2857,CM46,H,2024-08-14,2024-10-14,2024-10-21,D12,58,2857,64,2832,2105,2078,62,01F-000.5N,泰山
01F0005N,25.11831111,121.7316361,3,2,02-26-4570-93-2,2024-12,2023,CM46,H,2024-10-15,2024-12-12,2024-12-19,D12,69,2023,58,1983,2078,2413,59,01F-000.5N,泰山
01F0005S,25.11878611,121.7317639,3,2,02-26-4570-94-3,2024-06,1813,CM46,H,2024-04-12,2024-06-12,2024-06-21,D12,61,1813,56,1816,1810,2102,62,01F-000.5S,泰山
01F0005S,25.11878611,121.7317639,3,2,02-26-4570-94-3,2024-08,1960,CM46,H,2024-06-13,2024-08-13,2024-08-20,D12,64,1960,61,1990,2102,2057,62,01F-000.5S,泰山
01F0005S,25.11878611,121.7317639,3,2,02-26-4570-94-3,2024-10,2807,CM46,H,2024-08-14,2024-10-14,2024-10-21,D12,58,2807,64,2832,2057,2023,62,01F-000.5S,泰山
01F0005S,25.11878611,121.7317639,3,2,02-26-4570-94-3,2024-12,1942,CM46,H,2024-10-15,2024-12-12,2024-12-19,D12,69,1942,58,1983,2023,1933,59,01F-000.5S,泰山
01F0061S,25.0882722,121.6936444,5,4,02-26-5466-98-3,2024-06,3577,CK36,H,2024-03-28,2024-05-28,2024-06-11,B21,61,3577,59,1465,3319,3667,62,01F-006.1SN,泰山
01F0061S,25.0882722,121.6936444,5,4,02-26-5466-98-3,2024-08,3804,CK36,H,2024-05-29,2024-08-01,2024-08-08,B21,61,3804,61,1871,3667,3623,65,01F-006.1SN,泰山
01F0061S,25.0882722,121.6936444,5,4,02-26-5466-98-3,2024-10,3621,CK36,H,2024-08-02,2024-10-01,2024-10-08,B21,63,3621,61,1731,3623,3681,61,01F-006.1SN,泰山
01F0061S,25.0882722,121.6936444,5,4,02-26-5466-98-3,2024-12,3598,CK36,H,2024-10-02,2024-12-02,2024-12-09,B21,60,3598,63,1521,3681,3480,62,01F-006.1SN,泰山
03F0021N,25.129514,121.698631,4,3,02-26-9810-94-4,2024-06,2067,CZ24,H,2024-04-10,2024-06-10,2024-06-19,G08,59,2067,56,1760,1908,2181,62,03F-002.1N,樹林
03F0021N,25.129514,121.698631,4,3,02-26-9810-94-4,2024-08,2298,CM27,H,2024-06-11,2024-08-11,2024-08-16,G08,62,2298,59,2631,2181,2236,62,03F-002.1N,樹林
03F0021N,25.129514,121.698631,4,3,02-26-9810-94-4,2024-10,2201,CM27,H,2024-08-12,2024-10-10,2024-10-17,G08,62,2201,62,2495,2236,2176,60,03F-002.1N,樹林
03F0021N,25.129514,121.698631,4,3,02-26-9810-94-4,2024-12,2088,CM27,H,2024-10-11,2024-12-10,2024-12-17,G08,62,2088,62,1672,2176,1915,61,03F-002.1N,樹林
03F0116S,25.065611,121.643467,4,3,02-90-0270-93-0,2024-07,3255,CW34,H,2024-04-25,2024-06-24,2024-07-01,G08,64,3255,57,4006,3056,3564,61,03F-011.6SN,樹林
03F0116S,25.065611,121.643467,4,3,02-90-0270-93-0,2024-09,3451,CW34,H,2024-06-25,2024-08-26,2024-09-02,G08,61,3451,64,4851,3564,3324,63,03F-011.6SN,樹林
03F0116S,25.065611,121.643467,4,3,02-90-0270-93-0,2024-11,3338,CW34,H,2024-08-27,2024-10-27,2024-11-01,G08,63,3338,61,4774,3324,3266,62,03F-011.6SN,樹林
03F0116S,25.065611,121.643467,4,3,02-90-0270-93-0,2025-01,2972,CW34,H,2024-10-28,2024-12-24,2025-01-02,G08,59,2972,63,4187,3266,3031,58,03F-011.6SN,樹林
,,,,,02-95-3418-50-7,2024-06,843,CZ26,H,2024-04-29,2024-05-27,2024-06-05, ,32,843,29,無,840,1036,29,汐止收費站,泰山
,,,,,02-95-3418-50-7,2024-07,1063,CZ26,H,2024-05-28,2024-06-26,2024-07-03, ,29,1063,32,無,1036,1112,30,汐止收費站,泰山
,,,,,02-95-3418-50-7,2024-08,1384,CZ26,H,2024-06-27,2024-07-29,2024-08-05, ,31,1384,29,無,1112,1040,33,汐止收費站,泰山
,,,,,02-95-3418-50-7,2024-09,1070,CZ26,H,2024-07-30,2024-08-28,2024-09-04, ,29,1070,31,無,1040,954,30,汐止收費站,泰山
,,,,,02-95-3418-50-7,2024-10,1085,CZ26,H,2024-08-29,2024-09-26,2024-10-03, ,32,1085,29,無,954,865,29,汐止收費站,泰山
,,,,,02-95-3418-50-7,2024-11,881,CZ26,H,2024-09-27,2024-10-29,2024-11-05, ,30,881,32,無,865,780,33,汐止收費站,泰山
,,,,,02-95-3418-50-7,2024-12,713,CZ26,H,2024-10-30,2024-11-27,2024-12-04, ,33,713,30,無,780,701,29,汐止收費站,泰山
,,,,,02-95-3418-50-7,2025-01,587,CF25,F,2024-11-28,2024-12-26,2025-01-06, ,29,587,33,無,701,597,29,汐止收費站,泰山
01F0099N,25.07604444,121.6594222,4,3,02-96-3001-90-3,2024-06,4954,CZ26,H,2024-03-28,2024-05-28,2024-06-11,B21,61,4954,59,4954,2786,3491,62,01F-009.9SN,泰山
01F0099N,25.07604444,121.6594222,4,3,02-96-3001-90-3,2024-08,5327,CZ26,H,2024-05-29,2024-08-01,2024-08-08,B21,61,5327,61,5327,3491,7841,65,01F-009.9SN,泰山
01F0099N,25.07604444,121.6594222,4,3,02-96-3001-90-3,2024-10,4753,CZ26,H,2024-08-02,2024-10-01,2024-10-08,B21,63,4753,61,4753,7841,5119,61,01F-009.9SN,泰山
01F0099N,25.07604444,121.6594222,4,3,02-96-3001-90-3,2024-12,4737,CZ26,H,2024-10-02,2024-12-02,2024-12-09,B21,60,4737,63,4737,5119,4664,62,01F-009.9SN,泰山
03F0087S,25.089994,121.653556,4,3,02-97-0836-91-8,2024-06,1510,CZ24,H,2024-04-01,2024-05-29,2024-06-12,G08,59,1510,61,910,2037,2089,59,03F-008.7S,樹林
03F0087S,25.089994,121.653556,4,3,02-97-0836-91-8,2024-08,3371,CZ24,H,2024-05-30,2024-08-04,2024-08-09,G08,61,3371,59,1781,2089,2143,67,03F-008.7S,樹林
03F0087S,25.089994,121.653556,4,3,02-97-0836-91-8,2024-10,2069,CZ24,H,2024-08-05,2024-10-02,2024-10-09,G08,63,2069,61,1203,2143,2091,59,03F-008.7S,樹林
03F0087S,25.089994,121.653556,4,3,02-97-0836-91-8,2024-12,2104,CF20,H,2024-10-03,2024-12-03,2024-12-10,G08,62,2104,63,1197,2091,2031,62,03F-008.7S,樹林
05F0309S,24.823656,121.786347,3,2,03-41-8725-90-4,2024-06,3181,DD27,A,2024-04-11,2024-06-11,2024-06-20,G08,61,3181,56,1360,2733,3090,62,05F-030.9SN,樹林
05F0309S,24.823656,121.786347,3,2,03-41-8725-90-4,2024-08,3418,DD27,A,2024-06-12,2024-08-12,2024-08-19,G08,60,3418,61,2016,3090,3021,62,05F-030.9SN,樹林
05F0309S,24.823656,121.786347,3,2,03-41-8725-90-4,2024-10,3455,DD27,A,2024-08-13,2024-10-13,2024-10-18,G08,62,3455,60,1824,3021,2962,62,05F-030.9SN,樹林
05F0309S,24.823656,121.786347,3,2,03-41-8725-90-4,2024-12,3206,DD27,A,2024-10-14,2024-12-11,2024-12-18,G08,62,3206,62,1324,2962,2956,59,05F-030.9SN,樹林
05F0528N,24.632728,121.806958,3,2,03-44-6563-92-0,2024-06,1976,DG25,F,2024-03-26,2024-05-26,2024-06-04,G08,61,1976,60,692,1859,2019,62,05F-052.8N,樹林
05F0528N,24.632728,121.806958,3,2,03-44-6563-92-0,2024-08,2107,DG25,F,2024-05-27,2024-07-28,2024-08-02,G08,60,2107,61,733,2019,2004,63,05F-052.8N,樹林
05F0528N,24.632728,121.806958,3,2,03-44-6563-92-0,2024-10,1943,DG25,F,2024-07-29,2024-09-25,2024-10-02,G08,62,1943,60,679,2004,1965,59,05F-052.8N,樹林
05F0528N,24.632728,121.806958,3,2,03-44-6563-92-0,2024-12,1958,DG25,F,2024-09-26,2024-11-26,2024-12-03,G08,62,1958,62,690,1965,1883,62,05F-052.8N,樹林
05F0494S,24.662581,121.799908,3,2,03-45-7391-50-5,2024-06,2064,DG25,F,2024-04-03,2024-06-04,2024-06-14,G08,61,2064,56,1693,1783,2056,63,05F-049.4S,樹林
05F0494S,24.662581,121.799908,3,2,03-45-7391-50-5,2024-08,2175,DG25,F,2024-06-05,2024-08-06,2024-08-13,G08,62,2175,61,2248,2056,2080,63,05F-049.4S,樹林
05F0494S,24.662581,121.799908,3,2,03-45-7391-50-5,2024-10,2096,DG25,F,2024-08-07,2024-10-06,2024-10-14,G08,60,2096,62,2142,2080,1906,61,05F-049.4S,樹林
05F0494S,24.662581,121.799908,3,2,03-45-7391-50-5,2024-12,1950,DG25,F,2024-10-07,2024-12-05,2024-12-12,G08,62,1950,60,1696,1906,1951,60,05F-049.4S,樹林
05FR113S,24.733789,121.782022,2,1,03-47-7781-98-5,2024-05,3191,DT14,B,2024-03-06,2024-05-07,2024-05-14,G08,60,3191,58,2005,2976,3202,63,05F-R11.3SN,樹林
