點位編號,緯度,經度,點位座標,設備車道數,車道數,電號,用電地址,收費月份,用電度數,應繳總金額,繳費狀況,繳費期限,代收截止日,饋線別,停電組別,計費期間(起),計費期間(訖),收費日期,收費戶區,戶名,通訊地址,統編,上次抄表日,本次抄表日,下次抄表日,代繳帳號,下次收費日,終契日期,停電日期,停電日數,服務所,行業別,電燈用途別,電價種類,時間種類,扣款日,本期碳排量,去年全年平均電價,當期每度平均電價,查核碼,去年下期用電日數,計費度數－經常（尖峰）度數,上期預繳餘額,去年同期用電日數,調整係數（％）,功率因數調整費,基本電費（約定）,基本電費（非約定）,經常（尖峰）需量,離峰需量,本期預繳餘額,稅前應繳總金額,平均用電度數,用電超出比例,加〈減〉收金額,停電扣減金額,電價調整金額,計費度數－週六半尖峰度數,週六半尖峰需量,去年同期應繳總金額,去年同期用電度數,營業稅,功率因數（％）,計費度數－離峰度數,經常（尖峰）契約,底度,電子帳單優惠減收金額,去年下期用電度數,流動電費,遲付費用,本期用電日數,收費區,維運站,備註,資料提供
01H0206S,25.07275,121.557739,"N25° 4'21.90""  E121° 33'27.86""",3,2,00-35-7552-00-4,台北市松山區濱江街３７３號左後方２０公尺處（北上）,11307,2073,6607,已繳,1130721,1130827,ZQ58,H,1130425,1130624,1130701,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130425,113年06月25日,113年08月27日,000100100******,113年09月02日, , ,0,　,無,B21,表燈營業用,非時間電價,113年07月23日,1026,無,無,57,64,2073,無,57,無,無,無,無,無,無,無,6292.0元,3913,無,無,無,無,無,無,5430元,1842,315.0元,無,無,無,40,-10.0元,2189,6617.2元,無,61,01H-020.6S,北區泰山,,phase 1
01H0206S,25.07275,121.557739,"N25° 4'21.90""  E121° 33'27.86""",3,2,00-35-7552-00-4,台北市松山區濱江街３７３號左後方２０公尺處（北上）,11309,2183,7913,已繳,1130922,1131028,ZQ58,H,1130625,1130826,1130902,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130625,113年08月27日,113年10月28日,000100100******,113年11月01日, , ,0,　,無,B21,表燈營業用,非時間電價,113年09月23日,1078,無,無,456,61,2183,無,64,無,無,無,無,無,無,無,7536.0元,4557,無,無,無,無,無,無,7640元,2189,377.0元,無,無,無,40,-10.0元,2042,7923.1元,無,63,01H-020.6S,北區泰山,,phase 1
01H0206S,25.07275,121.557739,"N25° 4'21.90""  E121° 33'27.86""",3,2,00-35-7552-00-4,台北市松山區濱江街３７３號左後方２０公尺處（北上）,11311,2141,7115,已繳,1131121,1131225,ZQ58,H,1130827,1131027,1131101,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130827,113年10月28日,113年12月25日,000100100******,114年01月02日, , ,0,　,無,B21,表燈營業用,非時間電價,113年11月23日,1058,無,3.33,854,63,2141,無,61,無,無,無,無,無,無,無,6776.0元,4281,無,無,無,無,無,無,6559元,2042,339.0元,無,無,無,40,-10.0元,2016,7125.2元,無,62,01H-020.6S,北區泰山,,phase 1
01H0206S,25.07275,121.557739,"N25° 4'21.90""  E121° 33'27.86""",3,2,00-35-7552-00-4,台北市松山區濱江街３７３號左後方２０公尺處（北上）,11401,1902,5461,已繳,1140122,1140221,ZQ58,H,1131028,1131224,1140102,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1131028,113年12月25日,114年02月21日,000100100******,114年03月03日, , ,0,　,無,B21,表燈營業用,非時間電價,114年01月23日,940,無,2.88,650,59,1902,無,63,無,無,無,無,無,無,無,5201.0元,3565,無,無,無,無,無,無,5662元,2016,260.0元,無,無,無,40,-10.0元,1891,5471.0元,無,58,01H-020.6S,北區泰山,,phase 1
01F0213N,25.073053,121.550358,"N25° 4'22.99""  E121° 33'1.29""",3,2,00-35-7553-00-5,台北市松山區濱江街３７３號後方２０公尺處（南下）,11307,2287,7451,已繳,1130721,1130827,ZQ58,H,1130425,1130624,1130701,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130425,113年06月25日,113年08月27日,000100100******,113年09月02日, , ,0,　,無,B21,表燈營業用,非時間電價,113年07月23日,1132,無,無,157,64,2287,無,57,無,無,無,無,無,無,無,7096.0元,3913,無,無,無,無,無,無,6313元,2080,355.0元,無,無,無,40,-10.0元,2446,7461.3元,無,61,01F-021.3N,北區泰山,,phase 1
01F0213N,25.073053,121.550358,"N25° 4'22.99""  E121° 33'1.29""",3,2,00-35-7553-00-5,台北市松山區濱江街３７３號後方２０公尺處（南下）,11309,2428,9006,已繳,1130922,1131028,ZQ58,H,1130625,1130826,1130902,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130625,113年08月27日,113年10月28日,000100100******,113年11月01日, , ,0,　,無,B21,表燈營業用,非時間電價,113年09月23日,1199,無,無,656,61,2428,無,64,無,無,無,無,無,無,無,8577.0元,4557,無,無,無,無,無,無,8732元,2446,429.0元,無,無,無,40,-10.0元,2334,9015.8元,無,63,01F-021.3N,北區泰山,,phase 1
01F0213N,25.073053,121.550358,"N25° 4'22.99""  E121° 33'1.29""",3,2,00-35-7553-00-5,台北市松山區濱江街３７３號後方２０公尺處（南下）,11311,2406,8199,已繳,1131121,1131225,ZQ58,H,1130827,1131027,1131101,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130827,113年10月28日,113年12月25日,000100100******,114年01月02日, , ,0,　,無,B21,表燈營業用,非時間電價,113年11月23日,1189,無,3.42,854,63,2406,無,61,無,無,無,無,無,無,無,7809.0元,4281,無,無,無,無,無,無,7715元,2334,390.0元,無,無,無,40,-10.0元,2242,8209.1元,無,62,01F-021.3N,北區泰山,,phase 1
01F0213N,25.073053,121.550358,"N25° 4'22.99""  E121° 33'1.29""",3,2,00-35-7553-00-5,台北市松山區濱江街３７３號後方２０公尺處（南下）,11401,2087,6129,已繳,1140122,1140221,ZQ58,H,1131028,1131224,1140102,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1131028,113年12月25日,114年02月21日,000100100******,114年03月03日, , ,0,　,無,B21,表燈營業用,非時間電價,114年01月23日,1031,無,2.95,750,59,2087,無,63,無,無,無,無,無,無,無,5837.0元,3565,無,無,無,無,無,無,6439元,2242,292.0元,無,無,無,40,-10.0元,2072,6138.8元,無,58,01F-021.3N,北區泰山,,phase 1
01H0200N,25.070994,121.562519,"N25° 4'15.58""  E121° 33'45.07""",3,2,00-83-5531-08-1,台北市松山區濱江街８８８號對面東側１４０公尺處,11306,2091,6538,已繳,1130717,1130820,SZ34,H,1130418,1130618,1130627,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130418,113年06月19日,113年08月20日,000100100******,113年08月26日, , ,0,　,無,B21,表燈營業用,非時間電價,113年07月16日,1035,無,無,354,61,2091,無,56,無,無,無,無,無,無,無,6227.0元,4225,無,無,無,無,無,無,5261元,1826,311.0元,無,無,無,40,-10.0元,2117,6548.0元,無,62,01H-020.0N,北區泰山,,phase 1
01H0200N,25.070994,121.562519,"N25° 4'15.58""  E121° 33'45.07""",3,2,00-83-5531-08-1,台北市松山區濱江街８８８號對面東側１４０公尺處,11308,2180,7900,已繳,1130915,1131021,SZ34,H,1130619,1130819,1130826,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130619,113年08月20日,113年10月21日,000100100******,113年10月25日, , ,0,　,無,B21,表燈營業用,非時間電價,113年09月16日,1077,無,無,56,64,2180,無,61,無,無,無,無,無,無,無,7524.0元,5377,無,無,無,無,無,無,7332元,2117,376.0元,無,無,無,40,-10.0元,2175,7909.8元,無,62,01H-020.0N,北區泰山,,phase 1
01H0200N,25.070994,121.562519,"N25° 4'15.58""  E121° 33'45.07""",3,2,00-83-5531-08-1,台北市松山區濱江街８８８號對面東側１４０公尺處,11310,2190,7479,已繳,1131114,1131219,SZ34,H,1130820,1131020,1131025,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130820,113年10月21日,113年12月19日,000100100******,113年12月25日, , ,0,　,無,B21,表燈營業用,非時間電價,113年11月16日,1082,無,3.42,455,58,2190,無,64,無,無,無,無,無,無,無,7123.0元,5529,無,無,無,無,無,無,7236元,2175,356.0元,無,無,無,40,-10.0元,1857,7488.6元,無,62,01H-020.0N,北區泰山,,phase 1
01H0200N,25.070994,121.562519,"N25° 4'15.58""  E121° 33'45.07""",3,2,00-83-5531-08-1,台北市松山區濱江街８８８號對面東側１４０公尺處,11312,1960,5670,已繳,1140114,1140218,SZ34,H,1131021,1131218,1131225,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1131021,113年12月19日,114年02月18日,000100100******,114年02月24日, , ,0,　,無,B21,表燈營業用,非時間電價,114年01月16日,968,無,2.9,755,68,1960,無,58,無,無,無,無,無,無,無,5400.0元,4005,無,無,無,無,無,無,5115元,1857,270.0元,無,無,無,40,-10.0元,2151,5680.4元,無,59,01H-020.0N,北區泰山,,phase 1
01H0208N,25.072261,121.555014,"N25° 4'20.14""  E121° 33'18.05""",3,2,00-83-6302-08-6,台北市松山區濱江街４２６巷２１號對面２０公尺處,11306,2090,6534,已繳,1130717,1130820,SZ34,H,1130418,1130618,1130627,WZB0,遠通電收股份有公司,新北市板橋區新站路１６號１５樓,98770235,1130418,113年06月19日,113年08月20日,000100100******,113年08月26日, , ,0,　,無,B21,表燈營業用,非時間電價,113年07月16日,1035,無,無,454,61,2090,無,56,無,無,無,無,無,無,無,6223.0元,4225,無,無,無,無,無,無,5315元,1841,311.0元,無,無,無,40,-10.0元,2133,6544.1元,無,62,01H-020.8N,北區泰山,,phase 1
01H0208N,25.072261,121.555014,"N25° 4'20.14""  E121° 33'18.05""",3,2,00-83-6302-08-6,台北市松山區濱江街４２６巷２１號對面２０公尺處,11308,2168,7846,已繳,1130915,1131021,SZ34,H,1130619,1130819,1130826,WZB0,遠通電收股份有公司,新北市板橋區新站路１６號１５樓,98770235,1130619,113年08月20日,113年10月21日,000100100******,113年10月25日, , ,0,　,無,B21,表燈營業用,非時間電價,113年09月16日,1071,無,無,556,64,2168,無,61,無,無,無,無,無,無,無,7472.0元,5377,無,無,無,無,無,無,7402元,2133,374.0元,無,無,無,40,-10.0元,2188,7856.2元,無,62,01H-020.8N,北區泰山,,phase 1
01H0208N,25.072261,121.555014,"N25° 4'20.14""  E121° 33'18.05""",3,2,00-83-6302-08-6,台北市松山區濱江街４２６巷２１號對面２０公尺處,11310,2151,7315,已繳,1131114,1131219,SZ34,H,1130820,1131020,1131025,WZB0,遠通電收股份有公司,新北市板橋區新站路１６號１５樓,98770235,1130820,113年10月21日,113年12月19日,000100100******,113年12月25日, , ,0,　,無,B21,表燈營業用,非時間電價,113年11月16日,1063,無,3.41,855,58,2151,無,64,無,無,無,無,無,無,無,6967.0元,5529,無,無,無,無,無,無,7290元,2188,348.0元,無,無,無,40,-10.0元,1849,7325.4元,無,62,01H-020.8N,北區泰山,,phase 1
01H0208N,25.072261,121.555014,"N25° 4'20.14""  E121° 33'18.05""",3,2,00-83-6302-08-6,台北市松山區濱江街４２６巷２１號對面２０公尺處,11312,1914,5504,已繳,1140114,1140218,SZ34,H,1131021,1131218,1131225,WZB0,遠通電收股份有公司,新北市板橋區新站路１６號１５樓,98770235,1131021,113年12月19日,114年02月18日,000100100******,114年02月24日, , ,0,　,無,B21,表燈營業用,非時間電價,114年01月16日,946,無,2.89,655,68,1914,無,58,無,無,無,無,無,無,無,5242.0元,4005,無,無,無,無,無,無,5087元,1849,262.0元,無,無,無,40,-10.0元,2118,5514.3元,無,59,01H-020.8N,北區泰山,,phase 1
03A0015S,25.011819,121.562375,"N25°00'42.55"" E121°33'44.55""",3,2,00-90-9740-00-3,台北市和平東路三段６３６巷（國三甲台北聯絡線東向１．５５ｋ）,11306,2840,13167,已繳,1130711,1130814,SY38,A,1130412,1130612,1130621,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130412,113年06月13日,113年08月14日,000100100******,113年08月20日, , ,0,　,無,G08,表燈非營業用,非時間電價,113年07月05日,1406,無,無,854,61,2840,無,56,無,無,無,無,無,無,無,12540.0元,無,無,無,-1.1元,無,無,無,10799元,2636,627.0元,無,無,無,40,-10.0元,2934,13178.5元,無,62,03A-001.5SN,北區樹林,,phase 1
03A0015S,25.011819,121.562375,"N25°00'42.55"" E121°33'44.55""",3,2,00-90-9740-00-3,台北市和平東路三段６３６巷（國三甲台北聯絡線東向１．５５ｋ）,11308,2869,15792,已繳,1130909,1131015,SY38,A,1130613,1130813,1130820,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130613,113年08月14日,113年10月15日,000100100******,113年10月21日, , ,0,　,無,G08,表燈非營業用,非時間電價,113年09月05日,1417,無,無,456,64,2869,無,61,無,無,無,無,無,無,無,15040.0元,無,無,無,無,無,無,無,15178元,2934,752.0元,無,無,無,40,-10.0元,2945,15801.9元,無,62,03A-001.5SN,北區樹林,,phase 1
03A0015S,25.011819,121.562375,"N25°00'42.55"" E121°33'44.55""",3,2,00-90-9740-00-3,台北市和平東路三段６３６巷（國三甲台北聯絡線東向１．５５ｋ）,11310,2861,15050,已繳,1131110,1131213,SY38,A,1130814,1131014,1131021,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130814,113年10月15日,113年12月13日,000100100******,113年12月19日, , ,0,　,無,G08,表燈非營業用,非時間電價,113年11月05日,1413,無,5.27,753,58,2861,無,64,無,無,無,無,無,無,無,14333.0元,無,無,無,無,無,無,無,14809元,2945,717.0元,無,無,無,40,-10.0元,2587,15059.7元,無,62,03A-001.5SN,北區樹林,,phase 1
03A0015S,25.011819,121.562375,"N25°00'42.55"" E121°33'44.55""",3,2,00-90-9740-00-3,台北市和平東路三段６３６巷（國三甲台北聯絡線東向１．５５ｋ）,11312,2675,11504,已繳,1140108,1140212,SY38,A,1131015,1131212,1131219,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1131015,113年12月13日,114年02月12日,000100100******,114年02月18日, , ,0,　,無,G08,表燈非營業用,非時間電價,114年01月05日,1322,無,4.31,855,69,2675,無,58,無,無,無,無,無,無,無,10956.0元,無,無,無,無,無,無,無,10205元,2587,548.0元,無,無,無,40,-10.0元,3071,11513.8元,無,59,03A-001.5SN,北區樹林,,phase 1
03F0301S,24.96255,121.530572,"N24° 57'45.18""  E121° 31'50.06""",4,3,01-51-0999-00-0,新北市新店區安樂街國道三號南下３０．１３公里（電子收費系統）,11306,3465,11945,已繳,1130623,1130726,W427,D,1130325,1130523,1130603,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130325,113年05月24日,113年07月26日,000100100******,113年08月01日, , ,0,　,無,G08,表燈營業用,非時間電價,113年06月23日,1715,無,無,653,59,3465,無,60,無,無,無,無,無,無,無,11376.0元,2317,50,無,-1.4元,無,無,無,10393元,3260,569.0元,無,無,無,40,-10.0元,3378,11956.5元,無,60,03F-030.1SN,北區樹林,,phase 1
03F0301S,24.96255,121.530572,"N24° 57'45.18""  E121° 31'50.06""",4,3,01-51-0999-00-0,新北市新店區安樂街國道三號南下３０．１３公里（電子收費系統）,11308,3678,15956,已繳,1130821,1130925,W427,D,1130524,1130725,1130801,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130524,113年07月26日,113年09月25日,000100100******,113年10月01日, , ,0,　,無,G08,表燈營業用,非時間電價,113年08月23日,1817,無,無,755,62,3678,無,59,無,無,無,無,無,無,無,15196.0元,2866,28,無,無,無,無,無,13194元,3378,760.0元,無,無,無,40,-10.0元,3569,15965.6元,無,63,03F-030.1SN,北區樹林,,phase 1
03F0301S,24.96255,121.530572,"N24° 57'45.18""  E121° 31'50.06""",4,3,01-51-0999-00-0,新北市新店區安樂街國道三號南下３０．１３公里（電子收費系統）,11310,3527,15288,已繳,1131021,1131126,W427,D,1130726,1130924,1131001,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130726,113年09月25日,113年11月26日,000100100******,113年12月02日, , ,0,　,無,G08,表燈營業用,非時間電價,113年10月23日,1742,無,無,656,62,3527,無,62,無,無,無,無,無,無,無,14560.0元,2937,20,無,無,無,無,無,14852元,3569,728.0元,無,無,無,40,-10.0元,3503,15298.1元,無,61,03F-030.1SN,北區樹林,,phase 1
03F0301S,24.96255,121.530572,"N24° 57'45.18""  E121° 31'50.06""",4,3,01-51-0999-00-0,新北市新店區安樂街國道三號南下３０．１３公里（電子收費系統）,11312,3479,12365,已繳,1131222,1140121,W427,D,1130925,1131125,1131202,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130925,113年11月26日,114年01月21日,000100100******,114年02月03日, , ,0,　,無,G08,表燈營業用,非時間電價,113年12月23日,1719,無,3.56,150,62,3479,無,62,無,無,無,無,無,無,無,11776.0元,2354,48,無,無,無,無,無,12106元,3503,589.0元,無,無,無,40,-10.0元,3387,12374.8元,無,62,03F-030.1SN,北區樹林,,phase 1
03F0301S,24.96255,121.530572,"N24° 57'45.18""  E121° 31'50.06""",4,3,01-58-0346-03-0,文山區木柵路五段國道３號南下２０．１９公里（電子收費系統）,11307,4536,19722,已繳,1130721,1130827,WZ24,A,1130425,1130624,1130701,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130425,113年06月25日,113年08月27日,000100100******,113年09月02日, , ,0,　,無,G08,表燈營業用,非時間電價,113年07月23日,2245,無,無,657,64,4536,無,57,無,無,無,無,無,無,無,18783.0元,4536,無,無,無,無,無,無,16035元,4112,939.0元,無,無,無,40,-10.0元,4820,19732.4元,無,61,03F-030.1SN,北區樹林,,phase 1
03F0301S,24.96255,121.530572,"N24° 57'45.18""  E121° 31'50.06""",4,3,01-58-0346-03-0,文山區木柵路五段國道３號南下２０．１９公里（電子收費系統）,11309,4799,24294,已繳,1130922,1131028,WZ24,A,1130625,1130826,1130902,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130625,113年08月27日,113年10月28日,000100100******,113年11月01日, , ,0,　,無,G08,表燈營業用,非時間電價,113年09月23日,2371,無,無,856,61,4799,無,64,無,無,無,無,無,無,無,23137.0元,4799,無,無,無,無,無,無,23135元,4820,1157.0元,無,無,無,40,-10.0元,4486,24303.9元,無,63,03F-030.1SN,北區樹林,,phase 1
03F0301S,24.96255,121.530572,"N24° 57'45.18""  E121° 31'50.06""",4,3,01-58-0346-03-0,文山區木柵路五段國道３號南下２０．１９公里（電子收費系統）,11311,4621,21032,已繳,1131121,1131225,WZ24,A,1130827,1131027,1131101,WZB0,遠通電收股份有限公司,新北市板橋區新站路１６號１５樓,98770235,1130827,113年10月28日,113年12月25日,000100100******,114年01月02日, , ,0,　,無,G08,表燈營業用,非時間電價,113年11月23日,2283,無,4.56,754,63,4621,無,61,無,無,無,無,無,無,無,20030.0元,4621,無,無,無,無,無,無,19427元,4486,1002.0元,無,無,無,40,-10.0元,4427,21042.1元,無,62,03F-030.1SN,北區樹林,,phase 1
